Date,Asthma_Deaths,Resp_Deaths
2001-01,18,984
2001-02,13,797
2001-03,18,829
2001-04,13,651
2001-05,13,682
2001-06,10,591
2001-07,11,578
2001-08,10,552
2001-09,6,545
2001-10,13,609
2001-11,20,653
2001-12,12,828
2002-01,18,1056
2002-02,8,724
2002-03,21,800
2002-04,16,656
2002-05,16,592
2002-06,9,567
2002-07,12,589
2002-08,20,578
2002-09,10,487
2002-10,13,593
2002-11,15,687
2002-12,16,854
2003-01,15,913
2003-02,12,792
2003-03,12,802
2003-04,10,752
2003-05,10,648
2003-06,9,558
2003-07,10,579
2003-08,15,750
2003-09,11,504
2003-10,15,658
2003-11,14,823
2003-12,12,926
2004-01,23,1048
2004-02,11,743
2004-03,14,726
2004-04,12,644
2004-05,19,580
2004-06,11,570
2004-07,15,530
2004-08,20,498
2004-09,9,479
2004-10,11,581
2004-11,8,598
2004-12,11,813
2005-01,16,1013
2005-02,12,801
2005-03,16,908
2005-04,9,680
2005-05,11,619
2005-06,11,514
2005-07,9,515
2005-08,10,483
2005-09,7,474
2005-10,8,531
2005-11,10,552
2005-12,12,772
2006-01,8,773
2006-02,13,723
2006-03,11,834
2006-04,14,618
2006-05,11,584
2006-06,10,536
2006-07,5,534
2006-08,6,412
2006-09,7,433
2006-10,19,491
2006-11,6,524
2006-12,13,634
2007-01,13,734
2007-02,16,690
2007-03,15,677
2007-04,17,612
2007-05,10,531
2007-06,8,476
2007-07,14,462
2007-08,8,417
2007-09,4,423
2007-10,10,543
2007-11,7,561
2007-12,22,754
2008-01,6,843
2008-02,11,667
2008-03,8,674
2008-04,10,664
2008-05,10,504
2008-06,7,465
2008-07,7,491
2008-08,6,404
2008-09,5,389
2008-10,7,521
2008-11,14,591
2008-12,21,1041
2009-01,14,1014
2009-02,13,582
2009-03,8,550
2009-04,3,504
2009-05,8,465
2009-06,5,437
2009-07,3,440
2009-08,7,416
2009-09,13,420
2009-10,10,476
2009-11,9,548
2009-12,10,669
2010-01,10,804
2010-02,12,608
2010-03,7,526
2010-04,7,540
2010-05,6,519
2010-06,4,440
2010-07,4,398
2010-08,7,400
2010-09,6,428
2010-10,9,515
2010-11,4,522
2010-12,19,812
2011-01,12,820
2011-02,7,527
2011-03,8,571
2011-04,10,506
2011-05,14,478
2011-06,10,454
2011-07,6,466
2011-08,8,434
2011-09,10,445
2011-10,10,454
2011-11,12,497
2011-12,18,729
2012-01,11,780
2012-02,15,797
2012-03,16,673
2012-04,7,589
2012-05,14,542
2012-06,11,458
2012-07,9,457
2012-08,9,419
2012-09,10,445
2012-10,8,504
2012-11,6,552
2012-12,14,747
2013-01,18,765
2013-02,12,686
2013-03,11,729
2013-04,14,668
2013-05,13,532
2013-06,14,452
2013-07,6,427
2013-08,6,409
2013-09,8,428
2013-10,7,473
2013-11,8,498
2013-12,5,605
2014-01,11,607
2014-02,11,559
2014-03,8,601
2014-04,9,511
2014-05,15,453
2014-06,6,461
2014-07,10,465
2014-08,9,414
2014-09,9,460
2014-10,10,506
2014-11,14,527
2014-12,28,943
2015-01,23,971
2015-02,13,681
2015-03,17,685
2015-04,16,592
2015-05,13,481
2015-06,6,464
2015-07,8,436
2015-08,8,448
2015-09,11,480
2015-10,15,516
2015-11,11,460
2015-12,12,552
2016-01,8,666
2016-02,15,637
2016-03,13,759
2016-04,9,618
2016-05,13,461
2016-06,13,433
2016-07,15,471
2016-08,7,407
2016-09,7,378
2016-10,10,467
2016-11,9,519
2016-12,15,728
